Equipment Name,Type,Flowrate,Pressure,Temperature
HeatExchanger-16,HeatExchanger,56,5.17,110
Reactor-10,Reactor,125,7.39,116
Reactor-12,Reactor,68,6.9,88
Valve-1,Valve,53,5.23,198
Pump-17,Pump,93,5.76,128
Separator-7,Separator,68,4.81,99
Pump-10,Pump,129,7.08,196
Separator-8,Separator,125,4.13,128
Separator-3,Separator,168,7.19,175
Valve-14,Valve,56,8.78,133
HeatExchanger-4,HeatExchanger,128,4.09,90
Valve-12,Valve,74,8.14,118
Separator-14,Separator,143,5.86,89
HeatExchanger-15,HeatExchanger,83,8.45,140
Pump-11,Pump,92,8.63,140
HeatExchanger-16,HeatExchanger,56,5.17,110
Reactor-10,Reactor,125,7.39,116
Reactor-12,Reactor,68,6.9,88
Valve-1,Valve,53,5.23,198
Pump-17,Pump,93,5.76,128
Valve-14,Valve,56,8.78,133
HeatExchanger-4,HeatExchanger,128,4.09,90
Pump-10,Pump,129,7.08,196
